"","code","name","league"
"1","ARI","Arizona Diamondbacks","NL"
"2","ATL","Atlanta Braves","NL"
"3","BAL","Baltimore Orioles","AL"
"4","BOS","Boston Red Sox","AL"
"5","CHC","Chicago Cubs","NL"
"6","CHW","Chicago White Sox","AL"
"7","CIN","Cincinnati Reds","NL"
"8","CLE","Cleveland Indians","AL"
"9","COL","Colorado Rockies","NL"
"10","DET","Detroit Tigers","AL"
"11","HOU","Houston Astros","NL"
"12","KCR","Kansas City Royals","AL"
"13","ANA","Los Angeles Angels of Anaheim","AL"
"14","LAD","Los Angeles Dodgers","NL"
"15","FLA","Miami Marlins","NL"
"16","MIL","Milwaukee Brewers","NL"
"17","MIN","Minnesota Twins","AL"
"18","NYM","New York Mets","NL"
"19","NYY","New York Yankees","AL"
"20","OAK","Oakland Athletics","AL"
"21","PHI","Philadelphia Phillies","NL"
"22","PIT","Pittsburgh Pirates","NL"
"23","SDP","San Diego Padres","NL"
"24","SFG","San Francisco Giants","NL"
"25","SEA","Seattle Mariners","AL"
"26","STL","St. Louis Cardinals","NL"
"27","TBD","Tampa Bay Rays","AL"
"28","TEX","Texas Rangers","AL"
"29","TOR","Toronto Blue Jays","AL"
"30","WSN","Washington Nationals","NL"
